line_id,description,start_time,end_time,logs_count,duration_minutes
Other,Fremdunfall Betrieb ab Hofwiesengasse,2026-03-20 15:00:28,2026-03-20 17:00:36,28,120.13333333333334
Other,Fremdunfall Betrieb ab Nußdorfer Straße >,2026-03-19 22:30:16,2026-03-19 22:45:15,20,14.983333333333333
Other,Fremdunfall Betrieb ab Rennweg,2026-03-21 22:15:10,2026-03-21 22:45:09,3,29.983333333333334
Other,Gasrohrgebrechen Betrieb ab Hütteldorfer Straße U,2026-03-22 12:45:09,2026-03-22 18:15:15,100,330.1
Other,Gasrohrgebrechen Betrieb ab Urban-Loritz-Platz,2026-03-22 12:45:09,2026-03-22 18:15:15,100,330.1
Other,Gleisbauarbeiten Betrieb ab Krieau (Haltestelle 82A),2026-03-21 03:45:09,2026-03-22 18:15:15,154,2310.1
Other,Gleisbauarbeiten Betrieb ab Thaliastraße >,2026-03-19 09:38:22,2026-03-22 18:15:15,1332,4836.883333333333
Other,Gleisbauarbeiten Busse halten Gudrunstraße 180-182,2026-03-20 00:00:27,2026-03-22 03:45:08,51,3104.6833333333334
Other,Gleisbauarbeiten Busse halten Gudrunstraße 189,2026-03-20 00:00:27,2026-03-22 03:45:08,51,3104.6833333333334
Other,Gleisbauarbeiten Busse halten Gudrunstraße 196A,2026-03-20 00:00:27,2026-03-22 03:45:08,51,3104.6833333333334
Other,Gleisbauarbeiten Busse halten Neilreichgasse 20-22,2026-03-20 00:00:27,2026-03-22 03:45:08,51,3104.6833333333334
Other,Gleisbauarbeiten Busse halten bei Thaliastraße 3,2026-03-19 23:30:17,2026-03-22 03:45:08,56,3134.85
Other,Gleisbauarbeiten Kein Betrieb,2026-03-19 09:38:22,2026-03-22 18:15:15,8740,4836.883333333333
Other,Gleisschaden Betrieb ab Kliebergasse,2026-03-21 10:30:16,2026-03-21 12:15:15,36,104.98333333333333
Other,Gleisschaden Betrieb ab Matzleinsdorfer Platz,2026-03-21 10:30:16,2026-03-21 12:15:15,41,104.98333333333333
Other,Gleisschaden Züge halten bei den Linien 1 und 6,2026-03-21 10:30:16,2026-03-21 11:30:15,5,59.983333333333334
Other,"Linie 10: Kein Betrieb zwischen Anschützgasse und Breitensee. Linie 52: Betrieb nur zwischen Westbahnhof S U und Hietzing. Grund: Wasserrohrgebrechen im Bereich Linzer Straße. Die Dauer der Störung ist derzeit nicht absehbar. Weichen Sie auf die Linien U3, U4 und 49 aus.",2026-03-21 20:45:09,2026-03-22 04:30:16,32,465.1166666666667
Other,"Linie 10: Kein Betrieb zwischen Anschützgasse und Breitensee. Linie 52: Betrieb nur zwischen Westbahnhof S U und Hietzing. Grund: Wasserrohrgebrechen im Bereich Linzer Straße. Die Dauer der Störung ist derzeit nicht absehbar. Weichen Sie auf die Linien U3, U4 und 49 aus. Ein Ersatzverkehr mit Bussen zwischen Baumgarten und Anschützgasse wurde eingerichtet.",2026-03-22 04:45:09,2026-03-22 14:00:23,38,555.2333333333333
Other,"Linie 11: Fahrtbehinderung in Richtung Kaiserebersdorf, Zinnergasse. Voraussichtliche Dauer: 23:30 Uhr. Grund: Verkehrsunfall im Bereich Quellenstraße # Laimäckergasse.",2026-03-21 22:00:24,2026-03-21 22:45:09,4,44.75
Other,Linie 11: Fahrtbehinderung in Richtung Otto-Probst-Platz. Linie O: Fahrtbehinderung in Richtung Raxstraße. Voraussichtliche Dauer: 14:50 Uhr. Grund: Verkehrsunfall im Haltestellenbereich Laxenburger Straße / Troststraße.,2026-03-19 13:30:18,2026-03-19 13:30:18,1,0.0
Other,Linie 11: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-19 13:30:18,2026-03-19 15:00:28,8,90.16666666666667
Other,Linie 11: Unregelmäßige Intervalle in beiden Richtungen. Grund: Schadhaftes Fahrzeug.,2026-03-21 10:00:23,2026-03-21 11:15:10,6,74.78333333333333
