timestamp,title,description
2026-03-19 09:46:18,Verkehrsunfall Betrieb ab Josef-Baumann-Gasse,Verkehrsunfall Betrieb ab Josef-Baumann-Gasse
2026-03-19 09:46:18,Verkehrsunfall Betrieb ab Josef-Baumann-Gasse,Verkehrsunfall Betrieb ab Josef-Baumann-Gasse
2026-03-19 09:46:18,Verkehrsunfall Betrieb ab Floridsdorf,Verkehrsunfall Betrieb ab Floridsdorf
2026-03-19 09:46:18,Verkehrsunfall Betrieb ab Floridsdorf,Verkehrsunfall Betrieb ab Floridsdorf
2026-03-19 09:46:18,Verkehrsunfall Betrieb ab Floridsdorf,Verkehrsunfall Betrieb ab Floridsdorf
2026-03-19 09:46:18,Verkehrsunfall Einstieg bei Linie 31,Verkehrsunfall Einstieg bei Linie 31
2026-03-19 09:46:18,Verkehrsunfall Einstieg bei Linie 31,Verkehrsunfall Einstieg bei Linie 31
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
2026-03-19 09:46:18,Fahrtbehinderung Verkehrsunfall,Fahrtbehinderung Verkehrsunfall
